org_id_a,org_id_b,name
GB-EDU-100082,GB-COH-02804123,COLLEGE FRANCAIS BILINGUE DE LONDRES LTD
GB-EDU-100199,GB-COH-00672569,BLACKHEATH PREP
GB-EDU-100202,GB-COH-05352523,COLFE'S SCHOOL
GB-EDU-100364,GB-COH-08156535,LADY MARGARET SCHOOL
GB-EDU-100365,GB-COH-07700776,THE LONDON ORATORY SCHOOL
GB-EDU-100368,GB-COH-00571803,BUTE HOUSE PREPARATORY SCHOOL FOR GIRLS LIMITED
GB-EDU-100427,GB-COH-07774109,WILLIAM TYNDALE PRIMARY SCHOOL
GB-EDU-100501,GB-COH-08588099,HOLLAND PARK SCHOOL
GB-EDU-100510,GB-COH-03078551,NORLAND PLACE SCHOOL
GB-EDU-100514,GB-COH-02884794,SUSSEX HOUSE SCHOOL
GB-EDU-100630,GB-COH-07712850,CORPUS CHRISTI CATHOLIC PRIMARY SCHOOL
GB-EDU-100861,GB-COH-08208764,DULWICH COLLEGE
GB-EDU-100862,GB-COH-10814894,DULWICH PREP LONDON
GB-EDU-100863,GB-COH-06618970,JAMES ALLEN'S GIRLS' SCHOOL
GB-EDU-100864,GB-COH-09401357,ALLEYN'S SCHOOL
GB-EDU-100921,GB-COH-07797058,SIR WILLIAM BURROUGH PRIMARY SCHOOL
GB-EDU-101064,GB-COH-07847467,IBSTOCK PLACE SCHOOL
GB-EDU-101153,GB-COH-08100409,WESTMINSTER CITY SCHOOL
GB-EDU-101156,GB-COH-00889424,ARNOLD HOUSE SCHOOL LIMITED
GB-EDU-101173,GB-COH-01535096,FAIRLEY HOUSE SCHOOL
GB-EDU-101284,GB-COH-08164849,GRASVENOR AVENUE INFANT SCHOOL
GB-EDU-101343,GB-COH-07718480,INDEPENDENT JEWISH DAY SCHOOL
GB-EDU-101347,GB-COH-07697281,WHITEFIELD SCHOOL
GB-EDU-101349,GB-COH-08161745,COPTHALL SCHOOL
GB-EDU-101350,GB-COH-07714167,CHRIST'S COLLEGE FINCHLEY
GB-EDU-101351,GB-COH-07552702,EAST BARNET SCHOOL
GB-EDU-101354,GB-COH-07992842,THE HENRIETTA BARNETT SCHOOL
GB-EDU-101357,GB-COH-07803827,HENDON SCHOOL
GB-EDU-101359,GB-COH-07713287,MILL HILL COUNTY HIGH SCHOOL
GB-EDU-101380,GB-COH-01164455,HOLLAND HOUSE SCHOOL
GB-EDU-101428,GB-COH-08916979,DAYS LANE PRIMARY SCHOOL
GB-EDU-101436,GB-COH-08603037,BURSTED WOOD PRIMARY SCHOOL
GB-EDU-101443,GB-COH-08792911,SHERWOOD PARK PRIMARY SCHOOL
GB-EDU-101446,GB-COH-08657975,HURST PRIMARY SCHOOL
GB-EDU-101462,GB-COH-07455732,BEXLEY GRAMMAR SCHOOL
GB-EDU-101465,GB-COH-07974098,BLACKFEN SCHOOL FOR GIRLS
GB-EDU-101466,GB-COH-07654130,CHISLEHURST AND SIDCUP GRAMMAR SCHOOL
GB-EDU-101477,GB-COH-08088957,ST COLUMBA'S CATHOLIC BOYS' SCHOOL
GB-EDU-101479,GB-COH-07379768,BETHS GRAMMAR SCHOOL
GB-EDU-101481,GB-COH-01590162,WEST LODGE SCHOOL LIMITED
