org_id_a,org_id_b,org_name,relationship,source
GB-EDU-100082,GB-COH-02804123,COLLEGE FRANCAIS BILINGUE DE LONDRES LTD,sameas,Organisation company numbers
GB-EDU-100199,GB-COH-00672569,BLACKHEATH PREP,sameas,Organisation company numbers
GB-EDU-100202,GB-COH-05352523,COLFE'S SCHOOL,sameas,Organisation company numbers
GB-EDU-100364,GB-COH-08156535,LADY MARGARET SCHOOL,sameas,Organisation company numbers
GB-EDU-100365,GB-COH-07700776,THE LONDON ORATORY SCHOOL,sameas,Organisation company numbers
GB-EDU-100368,GB-COH-00571803,BUTE HOUSE PREPARATORY SCHOOL FOR GIRLS LIMITED,sameas,Organisation company numbers
GB-EDU-100427,GB-COH-07774109,WILLIAM TYNDALE PRIMARY SCHOOL,sameas,Organisation company numbers
GB-EDU-100501,GB-COH-08588099,HOLLAND PARK SCHOOL,sameas,Organisation company numbers
GB-EDU-100510,GB-COH-03078551,NORLAND PLACE SCHOOL,sameas,Organisation company numbers
GB-EDU-100514,GB-COH-02884794,SUSSEX HOUSE SCHOOL,sameas,Organisation company numbers
GB-EDU-100630,GB-COH-07712850,CORPUS CHRISTI CATHOLIC PRIMARY SCHOOL,sameas,Organisation company numbers
GB-EDU-100861,GB-COH-08208764,DULWICH COLLEGE,sameas,Organisation company numbers
GB-EDU-100862,GB-COH-10814894,DULWICH PREP LONDON,sameas,Organisation company numbers
GB-EDU-100863,GB-COH-06618970,JAMES ALLEN'S GIRLS' SCHOOL,sameas,Organisation company numbers
GB-EDU-100864,GB-COH-09401357,ALLEYN'S SCHOOL,sameas,Organisation company numbers
GB-EDU-100921,GB-COH-07797058,SIR WILLIAM BURROUGH PRIMARY SCHOOL,sameas,Organisation company numbers
GB-EDU-101064,GB-COH-07847467,IBSTOCK PLACE SCHOOL,sameas,Organisation company numbers
GB-EDU-101153,GB-COH-08100409,WESTMINSTER CITY SCHOOL,sameas,Organisation company numbers
GB-EDU-101156,GB-COH-00889424,ARNOLD HOUSE SCHOOL LIMITED,sameas,Organisation company numbers
GB-EDU-101173,GB-COH-01535096,FAIRLEY HOUSE SCHOOL,sameas,Organisation company numbers
GB-EDU-101284,GB-COH-08164849,GRASVENOR AVENUE INFANT SCHOOL,sameas,Organisation company numbers
